urlDrugName,rating,effectiveness,sideEffects,benefitsReview,sideEffectsReview,commentsReview
sarafem,10,Highly Effective,No Side Effects,"stabilized mood, allowed for clearer thinking, improved sleep pattern, felt less anxious, made world look bright again.",none -- no weight loss unfortunately,"Started with 20 mg once daily. This worked for several years. When spouse endured 3 years of life-threatening illness, the dosage was increased to 40 mg taken as 2 20mg pills."
wellbutrin-xl,10,Highly Effective,Mild Side Effects,"Within 3-4 weeks I had no depression and less hyperactivity; I was better able to organize my work and accomplish daily tasks; it regulated my sleep cycle. I told my husband that this must be what 'normal' (non-depressed, non-ADHD) adults feel like.","A small amount of shaking, mainly felt when drinking from a cup. It's not supposed to affect weight and hunger, but I have gained some weight, though I don't know if or how the medicine contributed.","Before using Wellbutrin I had trouble getting to sleep, then trouble getting up in the morning. I was very irritable, depressed and frustrated. I always felt groggy and could not 'get it together' until late in the day. When my treatment began, I started by taking one 150 mg pill first thing in the morning for a week. Then I took one 150 mg pill in am and one 150 mg pill in pm (this was before XL came out). The third week and from then on I took 300 mg in morning. I felt so much better that I was not bothered by the slight let down in the evening. However,I didn't feel really well consistently all day until the XL formula came out. I have tried the generic and I don't feel as well and I had constant stomach aches to the point that I was having pain near my gall bladder and was considering being evaluated for gallstones. All of this cleared up when I went back to Wellbutrin XL and I have not had a problem since."
wellbutrin-xl,7,Moderately Effective,Mild Side Effects,"Elevation of mood and clarity of thought.  Progress stalled out at 300 mg, but with increase to 450 mg can tell the difference.  I'm able to finally think and plan ahead and chip away at all the clutter I've not been able to deal with which accumulated while depressed.","None at 300 mg.  Possible tinnitus from increase to 450 mg, not evaluated by an audiologist yet though.  Did experience weight loss (7 lbs.) at 450 mg dosage.",Initial treatment included therapy and Lexapro in addition to Wellbutrin XL.  Now only on the Wellbutrin XL.  I see the psychiatrist every 4 months for re-evaluation
wellbutrin-xl,8,Considerably Effective,No Side Effects,"This drug definately does have an effect on depression.  I went on a trip and while I had enough for the duration of the trip, I ran out the day I returned and was unable to get the refill for several days.  I noticed a significant change in my mood and affect and began experiencing symptoms of depression again.  Although I tried to keep a ""stiff upper lip"" my husband noticed the change.","At the beginning of treatment I noticed a slightly elevated heart rate and I felt a bit jittery.  However, I do consume a fairly high amount of caffeine during the day and I was told to expect this by my doctor.  Another effect that I didn't really connect to the medication was a lack of motivation.  I did not attribute this specifically to the medication until I had a conversation with my best friend who had also taken Wellbutrin at one point.  She asked me specifically if I had experienced diminshed motivation while on the drug and it ""clicked"" with me.  I am not entirely certain if this can be attributed solely to the medication since this is also a symptom of depression.","Overall, I feel that my treatment with this drug has been successful.  I have not experienced any sexual side effects (which I know can occur with some antidepressants).  My libido is exactly the same as it was before my depression and before I began taking this drug.  I know that this drug can also cause a decrease in appetite as well as the urge to smoke.  My husband and I both smoke and I do smoke less when he is not home.  He is not on any medications and so he will frequently ask me if I want to go outside with him and smoke.  Usually (not always) I say yes for the companionship but sometimes I decline.  When he is not home I will smoke approximately 4 cigarettes in an 8-9 hour period (I used to be a pack-a-day smoker).  
Overall, I feel that this is a useful drug for depression.  I began taking it after my father died.  He battled cancer for 3 years and I took care of him the entire time.  His loss was debilitating to me.  No pill is going to change what I went through or how I feel, but this drug has helped me explore some of the painful feelings that go along with his death without ""coming unglued"".  My doctor prescribed this for me and at the same time switched me from Ortho-Tricyclen (which I was highly loyal to) to Loestrin Fe 24.  I must say that between these two drugs, physically I feel ten years younger (I am 33 but I feel 23 again).  Overall I would rate this drug as successful for me and will continue on it as long as my doctor and I feel is appropriate for me."
prozac,7,Considerably Effective,Mild Side Effects,"overal improvment in mood, cognitions and phyiscal symptoms. feelings of helplessness, worthlessness gradually subsided. Negative cognitions e.g. suicidal ideations were dimenshed, although it took a while for it to happen","Initially, in the frist two weeks of being of the medication patient complained of drowziness, sleepiness and feeling even more tired. However, the severity of side effects had slowely wore off.","After being assessed by a psychiaterist using differnt scales for depression, the patient was diagnozed with moderate to severe deprssion. The patient was then commenced on Prozac 20mg daily which was then to go up to 20mg daily. some side effecteds were reported during the firt two weeks, but they gradually wore off to minimum. The patient was on the medication for 2 years. The results were an improved mood, changed( positive outlook to life) and improved motivation and apetite"
lexapro,8,Highly Effective,Mild Side Effects,"I felt more stable in my daily activities; more capable of handling stress; and better able to successfully complete my daily responsibilities of working nights, parenting three children and keeping a house running at an acceptable level.","While I was taking the medicine, I slept alot during the day.  It could have been a side effect of my depression; however, I felt it was from the Lexapro because it was more extreme in the beginning of my takning this medicine and subsided somewhat after the medicine had been in my system for a while.  No matter how much I slept, I never felt rested and could still sleep a full night also.  This could also be attributed to my working night shift; however, once I quit taking the Lexapro, the need to sleep so much during the day subsided.","I was prescribed 10mg initially and this was not enough so my dose was increased to 15mg.  I would occasionally take an additional 5 mg, totalling 20mg, but this was rare.  I eventually weaned myself off of the medicine.  My doctor said that it would be acceptable for me to do this myself as I felt ready; largely because my father had died and my mother had remarried and we both felt it was going to be a temporary need only.  I took Lexapro for approximately 6-8 months."
effexor,8,Considerably Effective,Mild Side Effects,"Yes would recommend this drug for people with mild depression,","Tired.......... I work a lot of hours! but I felt overly tired during the day. Once I came off of the medication,the tiredness went away.","1 pill every night for depression.My doctor wanted me to try different medication,as my depression comes and goes."
effexor-xr,7,Moderately Effective,Mild Side Effects,Alleviated deep depression.,Sexual desire & response.,Treatment ongoing.
prozac,6,Moderately Effective,Moderate Side Effects,depression was alleviated to a functional degree.I wasn't in lala land but was able to get out of bed and care for my children. I was never suicidal or violent,I had some sleep disturbancebut the worst was a 15 lb. weight gain that came off only after switching to another antidepressant,I took the prozac once daily and got regular exercize.
lamictal,9,Highly Effective,Mild Side Effects,"Completely took away my severe chronic body pain. I was able to sleep at night and was not fatigued during the day. You have to be very careful with the dosage and slowly increase it, but it is completely worth it.",For the first night or two taking the medication and after increasing the doasage I had trouble sleeping.,"Lamictal saved my life. I suffered from severe chronic body pain for 3 years, and naturally I searched for a physical cause but was never able to be diagnosed or treated correctly. Finally I was diagnosed with depression and began taking Lamictal. I felt a 180 degree difference in my life immediately. I started initially with 50 mg and slowly titrated up to 200 mg. Now I can sleep at night, I am not fatigued during the day, I can complete tasks and have motvation, and most importantly, I am completely pain free. The number 1 cause of body pain in teenagers is depression, and many doctors fail to take that into account."
prozac,8,Considerably Effective,Moderate Side Effects,"Definite improvement in mood, particularly at the beginning of treatment. Much better stability with moods and PMS symptoms in particular. I do think that I don't feel it is as effective now as when I started but still feel better than without it and would not stop treatment.","At the beginning of treatment, I had a tremendous difficulty sleeping and felt jittery. Passed after a fews weeks. Definite drop in libido since treatment started, rated the side effects as ""moderate"" above for this reason alone.",Take 20 mgs once per day. I have to speak with my Dr by phone every third refill and visit in office twice a year to discuss how treatment in working.
paxil,9,Considerably Effective,Mild Side Effects,"I am less angry, sleep a little better, MUCH less anxious. I am able to play with the kids without unhappily obsessing over all the things I should be working on. I can just chill out and be in the moment.","sleepiness the next day, maybe more acne","Clinical depression runs in my family. My sister was clinically depressed at the age of 9. She and I were both sensitive, angry, sad, and sometimes suicidal. I have just lived with it, not really taking meds much. I have to notice a difference in a few days if I am going to stick with something. My aunt told my sister that the people in our family do well on Paxil. My sister felt that it worked for her for a year or two, so I started taking it because it has reached a point where I have to be happy or die from stress. the Paxil had a noticeable effect on my anxiety levels in a matter of days, and an effect on my level of general happiness in a matter of a week or two. The doctor prescribed 20 mg which I just can't take because it makes me too sleepy the next day. I take 10mg which was enough for the first month. Now 10 mg is almost not enough, I can feel the anxiety there sometimes but more Paxil will make me sleepy. My 10 year old son inherited the family depression problem, he's been talking about killing himself and others. He started taking Paxil also, I have noticed a big difference. He is not angry so much anymore. It is helping us truly. I usually won't take prescriptions, I think they make people sicker sometimes. I will keep taking this stuff as long as the benefits outweigh the problems."
prozac,9,Considerably Effective,No Side Effects,"Maintained a general feeling of well being and being able to cope with life. When I stopped the treatment (gradually) the depression returned after a couple of months. Having suffered from depression periodically over a number of years, I feel my quality of life has increased with Prozac.",None,"One 20 mg tablet once a day, in the morning."
wellbutrin,10,Highly Effective,No Side Effects,"Depression lifted, more energy, more focus, more productive at work and school, able to laugh and smile, still felt sad or upset sometime (which is good because it means I didn't feel numb like some anti-depressants make you feel, sleep better.",none,I take the prescription because my shrink said that she had heard that the generic wasn't as effective. I started taking this to replace serzone (which was taken off the market) but it has been more effective than the serzone ever was.
zoloft,10,Highly Effective,No Side Effects,"feeling really relieved from the effects of usual depression, that i had for more than 10 years : feeling very low, no energy, daily crying, fear from future, unhappiness and underestimation of myself, regular temptation of suicide, thought i never tried to kill myself, the idea was becoming an obsession. And this terrible feeling of pretending all the time, at work, with friends, that i was ok, had disappeared. 
Before getting pregnant, i was a bit afraid that i have to stop the medication by my doctor told me to go on, that there was no known side effect with pregnancy, so i went on. My son is now 14 months old and is a wonderful healthy little boy, with a happy mother !",none,"one pill, 50mg/day, for 6 months at first, then as a regular treatment."
pristiq,8,Considerably Effective,Mild Side Effects,Pristiq elevated mood and energy levels.,Increased anxiety,"Pristiq was prescribed at a 20 mg dose and then increased to 40 mg dose. I continue to take it as it has been the most effective medication for alleviating symptoms of depression that I have tried, including Prozac, Effexor, Wellbutrin and Lexapro."
effexor,6,Moderately Effective,Severe Side Effects,"I noticed significant changes in the beginning.  After about 2 years, the dosage needed to be increased and is now at the max.  I am experiencing an ebb in effect and have no way to increase the dosage now.","Horrific nausea and feelings of body shock when a dose is missed.  If I could have chosen a different drug when I started, i would have done so.  The withdrawal effects are so bad that I may be on this drug for years to come just to avoid the pain of withdrawals.",-
lexapro,1,Ineffective,Severe Side Effects,"Placebo effects, I thought it was helping at first","Turned me into a zombie, incaple of feeling pleasure or any positive emotions at all.","I took the pills for around two years then heard on the news that many anti-depressants were no more effective than placebo. I decided to stop taking them, I weaned myself off over a few weeks. After this time I was a new person, the world felt real again, I was no longer plodding through life in a daze, I was so much happier, the things I used to enjoy I started to enjoy again. I am extremely angry that I cannot get back those years that I was taking various anti-depressants that turned me into a zombie who did not care about anything or anyone. I understand everyone is different and these may work for some people, but for me these drugs ruined my life, if you are taking them you could be missing out on so much, please consider whether they are doing more harm than good!"
lexapro,10,Considerably Effective,No Side Effects,I had felt so depressed over the diagnosis of my mothers terminal illness and after taking this medication for less than 2 months I noticed that I could control my emotions much better.,none,"Mother diagnosed with terminal illness.  Difficult time for me.  Cried alot.  Lexapro let me get hold of my emotions.  I felt that I could cope with the situation better.  The doctor increased my dose to 30mg after about 3 months.  I don't feel that it made a significant difference so, I cut back to 20mg."
zoloft,9,Highly Effective,Mild Side Effects,"Depression eased, and was able to continue with daily life. Additionally, regular headaches eased and eventually disappeared.","Weakened libedo.  Other than that, no other side effects are experienced.","100mg dose daily was prescribed in 1998.  Symptoms presented were lack of enjoyment, repetitive negative thoughts, Uncontrollable outbursts of crying. Chronic headaches / fog."
lexapro,3,Considerably Effective,Severe Side Effects,"My doctor prescribed Lexapro to treat my condition of Major Depression Disorder (MMD.)  In addtion to Major Depression Disorder, I also have Anxiety Disorder, and prior to treatment, I occassionally get into hyperventilation. I felt better after several days into taking Lexapro, and I was able to sleep better also.","I had nobody to take me to my doctors' offices, so I had to drive myself around. The sedation side effect was very strong on me, and I could not drive safely. My friends also made comments that my responsiveness had gone a lot worse at that time.  By the third week into taking Lexapro, I had to call my doctor and requested to have a different drug in replacement.","To treat the Major Depression Disorder and Anxiety Disorder, I visited my psychologies on a weekly basis, and my psychiatrist once every two or three weeks. The first drug that the psychiatrist recommended was Lexapro, and I started with the 5 mg dosage, after which I took the 10 mg for about three weeks. As mentioned above, I had to call my psychiatrist by the third week to request a different drug due to significant side effects."
cymbalta,7,Considerably Effective,Moderate Side Effects,"This drug after it reached therapeutic levels in my body resulted in a lifting of my depression. I was able to function in life in a more normal way. I ""just felt like doing things"". Before i was struggling to get things accomplished.",I felt jittery at first. I also had excessive salivation for several weeks. These side effects passed after three weeks. Sexual I had more difficulty gaining an erection and it was very difficult reaching orgasm.,Made me feel jittery at first. Also excessive salivation. It took about 4 weeks for this to pass. Two months depression lifted.
celexa,8,Highly Effective,Mild Side Effects,After several days of taking 20 mg. per day my signs of depression were gone. I felt coming out of the dark in the bright sun! It has changed my life.,"I did not notice it myself but my husband told me I became rather 'cool', less sensitive.","Treated 2 years by a psychologist who prescribed the Citalopram. Three times I tried to stop and live without, but the depression returned. Now my doctor prescribes it each time for 3 months."
cymbalta,9,Highly Effective,Mild Side Effects,"More energy, the pall that was hanging over me was lifted.  I became me again.  I did not just cruise through life having no connection, I was engaged again.","Drowsiness.  Both the Lexapro and the Cymbalta makes me tired during the day, neccesitating a nap.","Cymbalta 20 mg 2x a day for one weeek to get acclimated to it.

Cymbalta 60 mg 1x a day."
pamelor,7,Considerably Effective,Severe Side Effects,"This medication was greatly effective in alleviating my depression, more effective than SSRIs or SNRIs I have tried.  Also, the effects did not seem to wear off with time (over the course of treatment, 9-12 months) which I experienced with celexa and effexor xr.  The facial pain was also decreased, this medication is also used as a treatment for nerve pain.","One of the most unfortunate side effects of all tricyclic antidepressants for many people is weight gain.  I was 'lucky' that I did not gain weight, but I was almost totally unable to lose weight despite diligent nutrition and exercise.

The medication also increased my heart rate.  I was unable to take it at night (which is the common prescribing practice) as the accelerated heart rate would keep me awake.  Taking it in the AM seemed to work around this problem but may have caused some daytime fatigue/sleepiness (this is why is it usually prescribed to be taken at night).","I began at 10mg then worked up to a 50mg dose.  I had relatively good suppression of depressive symptoms at all doses, higher doses being better.  The higher doses did not seem to increase the weight gain/heart rate side effects any more than the lower doses (as in non-dose-dependent effects)."
celexa,5,Moderately Effective,Severe Side Effects,"For the depression it didn't make much of a difference; but it worked wonders for my anxiety. The edginess, nervousness, impatience, fear of socializing and going out of the house, completely disappeared after one month of taking it. My close friends even commented that 'I was my old self again'. I was much more relaxed and happy. It made me realize that I was misdiagnosed as depressed, when what I really have is anxiety. After talking to my new psiquiatrist, we came to that conclusion.",COMPLETE loss of libido. That's why I discontinued the treatment.,"I started with 10mg/day, for one month, when I started to feel less anxious, but not motivated or more energetic, as expected from an anti-depressive medication. Then the dose went up to 20mg/day for another 3- 4 months, when no 'anti-depression' effects were noticed, the dose went up to 30 mg/day, it made no difference either. I have stopped taking it gradually (20mg/day for 1 week, then 10mg/day for 3 weeks) until i stopped completely. Now I'm waiting to see how I feel, to see if I 'll try another medication, since the side effect described above was intolerable to me."
paxil,7,Considerably Effective,No Side Effects,The treatment benfits were...I was able to over come depression with assitance from the drug paxil.  Along with therapy and Paxil I was able to live a normal life till I was able to do it alone through the coping methods I learned in Therapy.  I had no side effects and paxil took the edge off and allowed me to work ont he issues subjectively.,As stated before I had no treatment side effects.,We con't to keep the dosage as is due to favorable results.
effexor-xr,8,Highly Effective,Mild Side Effects,Decreasse in general anxiety symptoms and most symptoms of depression.,"Dry mouth, 
initial constipation for about one month
slightly elevated heart rate","150 mg capsule taken with breakfast and 75mg with evening meal. This was accompanied by psychological counselling, mainly cognitive behaviour therapy"
effexor,5,Considerably Effective,Moderate Side Effects,"the treatment reduced the following symptoms of depression: apathy, lack of
interest in daily activities, passive suicidal ideation, loss of energy.","the treatment resulted in augmentation of restless legs and induced weekly migraines. this required three additional medication to manage the side effects.
these medications also had side effects.","the treatment was started two years ago and was intially very effective.
despite causing augmentation of restless legs and inducing weekly migraines
a decision was to stay on the medication and treat the side effects. over
time the antidepressant effects waned but the side effects continued so I
am slowly being withdrawn from the effexor. the seroquel has had side effects
as well."
wellbutrin,5,Marginally Effective,Moderate Side Effects,"More energy, better mood, increase sexual desire (which was very low).",I had a moderate tinnitus which became severe as soon as I started to take the drug. I will stop taking the medication.,I've been taking Duloxetina (Cymbalta) 60mg for 2 years now. It helps with my mood but it doesn't take all the depression sympthoms away.
prozac,10,Highly Effective,Mild Side Effects,Perfect.  The Trazadone helps me sleep inspite of the Prozac.  I no longer have any manic phases thanks to Lamictal.,None,"I started with the Prozac.  Then the trazadone was added to help me sleep.  I was always cycling into manic phases but they became more extreme and serious.  The Lamictal completely obliterated the mania.  I feel completely stable, happy and am very high functioning."
effexor-xr,7,Highly Effective,Moderate Side Effects,"Effexor was very effective at alleviating my symptoms of depression.  My mood improved dramatically, I felt happy and engaged in life again.  It also worked fairly quickly.  I began feeling the effects within the first week.","The side effects I experienced while taking Effexor were insomnia, rapid heartbeat and grinding my teeth at night.  Also, I found myself incessantly jiggling my leg while sitting at my desk, watching tv, etc..  All in all, these were minor and as easy trade-off.  The major side effect I noticed was a complete loss of libido and inability to reach orgasm.  Simply put, it was as if a switch had been turned off on my sex drive.  This side effect was the reason I chose to stop taking Effexor.","My physician started me out on 37.5mg/day for 1 week then increased the dosage to 75mg/day for another week and, finally, to 150mg/day.  After taking 150mg/day for about a week, I felt it was too much...my heart was always racing, I couldn't sleep, and I generally just felt ""nervous"".  My physician dropped my dosage back to 75mg/day and that seemed to work best for me.  I absolutely feel that the Effexor helped lift my depression.  However, I eventually chose to stop taking it because of the sexual side effects.  After being on Effexor for about a year, I both wanted and needed to have a healthy sexual relationship with my husband again.  I dropped the dosage back to 37.5mg/day for a week, then one every other day for about another week before stopping altogether.  I don't recall having any ""withdrawal"" symptoms.  Within a few days of the last dose, all sexual functions were back."
effexor,3,Moderately Effective,Severe Side Effects,This drug did have benefits in that it stabilized my mood somewhat. I still suffer from severe bouts of depression- mostly caused by the side effects of the drug.,"the side effects are sever for me and include:  rapid weight gain which is next to impossible to loose. Very high cholesterol which requires more medication (20mg lipitor per day)Debilitation sexual side effects: impotence and inability to reach orgasm.  Profuse sweating, indigestion, lethargy.  I am now severely addicted to this medication with no way to get off it. Any attempt to stop taking the medication leads to severe physical and emotional pain.",I agree that this medication has some positive effects but the negative side-effect FAR OUTWEIGH the good.  Its been prescribed over and over to me by lazy doctors not willing to help me find the right medication for my condition. Any attempt to discontinue the medication has led to severe and acute withdrawal symptoms.
lexapro,9,Considerably Effective,Mild Side Effects,"Lessened anxiety,brought about more attention","drowsiness,lethargy,lack of deep emotions",take one pill daily
effexor,10,Highly Effective,No Side Effects,"The numbness in my arms and hands significantly reduced. I was having uncontrollable emotions of sadness, crying and even thoughts of suicide.  Taking the effexor helped me not only control my emotions but also diminished the intensity as well.",Initally when I started taking Effoxor it upset my stomach. I was taking in the morning after breakfast so the Dr. suggested taking it before bedtime which solved that problem.  I have been taking it for sometime now and do not remember any other side effects from this mediation.,I started off taking 50mg for two weeks then increased the dosage to 75mg for two weeks.  After visiting the Dr. after a month on this dosage he recommended going up to 100mg and eventually I increased it to 150mg.  This is currently the dosage I am taking.
effexor,10,Highly Effective,Mild Side Effects,The benefits of taking Effexor are wonderful. My mood has been so much better. I can function properly without feeling overwhelmed and or stressed out. I have recommended this drug to many of my friends who have had similar problems.,"The side effects are mild, but excessive sweating is one of them. I seem to sweat a good bit more than I normally did as well as sweat more than other people that I notice. Also night sweats have been a problem from time to time. Constipation can also be a side effect.","The details in the treatment are just as I described shortly above. I went to the doctor, they prescribed it and I take it. Don't really know what else to say here for the treatment details."
effexor-xr,9,Highly Effective,Mild Side Effects,The xanax helped slow things down and make everything less stressful. helped me to stay on a calm even level.,"unfortuntely it is extremely addictive and you can find yourself craving it, and everything can become a problem if I didnt have any.  Dealing with lifes regular ups and downs all became stressful if I didnt have it.  Had to stop taking it as soon as I noticed my behavior.",I want to say it was 50 mg. doses taken up to 3 times a day.  It was somewhat up to me when I needed to take it.  Mostly for anxiety attacks.
prozac,10,Highly Effective,No Side Effects,"Within a few days, my mood, self-esteem, attitude and over-all well-being improved tremendously! I went from feeling suicidal and not being able to funtion properly in order to take care of myself or my family, to feeling better than I had since I was in my teens. I began to lose some of the weight I had gained from being depressed. I was in a wonderful mood and I had so much more energy than I had in years. My overall experience with Prozac has been perfect!",I have had no known side effects to this date. I do watch out for muscle cramps that last more than a week and I have blood work done once a year to ensure that my kidneys are not being affected.,"I started on 10 mgs. once a day and when that was tolerated well I went up to 40 mgs. This caused some insomnia and nervousness so my Dr. lowered it to 20 mgs. a day. There are still times I get depressed for a few days but that only happens once or twice a year and it is mild. I am looking at being on Prozac as long as my body toleates it, due to once being taken off I went into a fast downward spiral and had to begin again."
celexa,1,Ineffective,Moderate Side Effects,There were no benefits.  It did not solve the organic issues and created new problems.,"Firstly, this medication made me drowsy, and I often took involuntary naps mid-afternoon. Secondly, I had carbohydrate cravings, and felt hungry all the time. Lastly, after a couple of weeks I became weepy, irrational and anxious.  I can't imagine how magnified these symptoms would have been on a higher dose.","I began taking Celexa after Lexapro made me sleepy and hungry.  The Lexapro did indeed calm my anxieties.  It was thought that an isomer of Lexapro might be better tolerated.  This was not the case, and now I am off all medications for a short period to re-evaluate my baseline needs."
wellbutrin,8,Considerably Effective,No Side Effects,the treatment benefits were an increase of energy and an overall increase in mood while not affecting the libido.  after 2yrs it stopped having the same affect.,no side affects from this med,took 2 75 mg bupropion and 300mg zoloft in the morning.
lexapro,6,Marginally Effective,No Side Effects,"The treatment benefits were marginal at best.  Mood neither improved nor deteriorated, and anxiety was never significantly alleviated.  Unsurprisingly, recent research suggests that SSRIs are only effective in the most severe of cases.","On the plus side, I experienced no major side effects.  The possible effects can range from nausea to sexual dysfunction, but none were a problem.  However, it is possible to feel a sort of withdrawal.","The pills are administered once a day, daily, for as long as you think it's worth taking them.  The prescribing physician recommended taking Lexapro for at least six months to get the full benefit of its normalizing effects."
wellbutrin,10,Highly Effective,No Side Effects,"Stability in mood, easy to recover from burst of anger, help to concentrate",I have not seen any,"I had some mood problems, like being sad most of the time, no will to do anything, and most of it crying without a reason, like waking in the middle of the night and start crying. I only enjoyed very depressing movies where I could cry my eyes out."
wellbutrin,8,Highly Effective,Moderate Side Effects,I started with a 150 mg dose and that did next to nothing. I recently increased to 300 mg and then I really started to feel better. I felt kind of hyper and for the first time in ages was able to go back to my gym routine. I noticed a decrease in appetite which in my case is great as I have about 20 lbs to lose. This drug definitely helped with my feelings of worthlessness and failure and with the crying spells.,"The worst side effect for me is stomach upset and trips to the bathroom, especially in the morning after I've taken it. The feeling of being all cranked up is good when I have so much to do (others say this wears off) but it also makes me feel a bit anxious and unable to relax. I had mild sleep problems, mainly early waking.","I'm really loving the increase in energy and the lifting of the black cloud, but sometimes I feel a little spinny. Since increasing the doseage I've noticed I've been doing more stupid things than normal, like almost backing up into a truck that I knew was there!!??"
pristiq,9,Highly Effective,Moderate Side Effects,It has helped greatly with my depression. I had taken Wellburin for years and it stopped working. Pristiq has helped get my life back.,I had terrible side effects for 2-3 weeks. I couldn't think straight and could not sleep. My doctor suggested taking the pill every other day until I felt like I could handle the dosing. I am glad I stuck with it.,Feeling better
effexor-xr,3,Marginally Effective,Severe Side Effects,"Instead of curing my depression, this drug made me feel completely flat.","Besides the extreme flatness, there were not many at time of treatment; however, I had severe cramps and diarrhea getting off of it","I had been on Zoloft for 5 years with no problems. After a while it had been less effective, and my doctor cycled me rapidly through other drugs that did not work well. I had been inpatient for a week because treatment had been going so poorly. So this drug seemed better, compared to that, for a while, but gradually I noticed that I didn't so much feel better as that I just didn't feel anything at all."
prozac,8,Considerably Effective,Mild Side Effects,"Taking Prozac has helped me to live a normal life. I was having a serious bout of depression when I first started taking Prozac, and the drug lifted the symptoms of extreme hopelessness and racing negative thoughts. I've tried to go off the medication but whenever I do, negative thoughts and the resulting emotions return. When I resume taking Prozac, the symptoms subside. The medicine allows me to challenge thoughts rather than react to them.","I have problems sleeping--not falling asleep but staying asleep. I sometimes feel nervous (that is, nervous energy, not anxiety). I'd also say that Prozac can make me feel numb, but it's better than being severely depressed. Overall, the side effects aren't bad enough for me to stop treatment or look for another medication.",I've been taking 40 mg. of Prozac once a day for about 20 years (I started taking it about the time it first became available.)
prozac,10,Considerably Effective,No Side Effects,"better able to handle everyday situations without spikes in temper
I usually woke up between 3-5 times a night. With the Prozac my sleep was less interrupted. 
I also had less stretches of times when I felt depressed and just wanted to sleep to get thru another day. All in all the Prozac helped me to rationally look at my life and make decisions. My outlook brightened.",none,20mg prozac once a day
effexor,8,Highly Effective,Moderate Side Effects,Significant remission from a major depressive disorder that had been present throughout childhood and into my adult life. One day I just could not get out of bed - the depression was so bad that my father took me to the doctor who handed me a sample pack provided to him by a drug rep. The Effexor was a life saving medication.,"I did experience some  taking ignificant side effects as a result of taking effexor. THese included major sexual disfunction, chrinic tireness, apathy  and a numb state of being. I felt that the medication made me feel like I was just zombing through work and social life. I did not have a sex drive and found that I did not have any motivation to pursue sexual encounters.","I did experience some  taking ignificant side effects as a result of taking effexor. THese included major sexual disfunction, chrinic tireness, apathy  and a numb state of being. I felt that the medication made me feel like I was just zombing through work and social life. I did not have a sex drive and found that I did not have any motivation to pursue sexual encounters."
cymbalta,7,Considerably Effective,Mild Side Effects,"Less pain, better mood",Constipation,Took cymbalta once a day every day
wellbutrin,5,Moderately Effective,Moderate Side Effects,"mood improved slightly, mental energy increased slightly, but felt different than from a stimulant such as caffeine.","dry mouth was mild. Aggression was significant. I became very quick tempered, which in uncharacteristic for my personality type. Libido was not improved.","I have a ""slow"" brain. Specifically I have what soem researchers refer to as ""sluggish cognitive tempo"". Taking a drug that has some dopaminergic activity could theoretically improve certain parts of the symptomology."
sarafem,6,Moderately Effective,Moderate Side Effects,"Releived moderate depression initially, and helped with anger and irritability control.","Sleeping too much, night sweats, vivid dreams, felt emotionally numb, cravings for carbohydrates and overeating, and had decreased libido.","Started on 20 mg dose for 2 weeks, then increased to 40 mg.  After 4 months the benefits decreased dramatically so switched to another drug, bupropion, but still taking 20 mg of fluoxetine daily."
wellbutrin-sr,9,Considerably Effective,Mild Side Effects,It helped with depression and suicidal thoughts.  I was able to sleep better and deal with anxiety and stress better.,dry mouth was the worst side effect but since I should drink more water anyway it was a mixed blessing.,Effexor and Wellbutrin kept my depression under control - I took more during the winter months and less the rest of the year.
zoloft,9,Considerably Effective,No Side Effects,"Onset of depression as a result of sudden spouse bereavement, ability to continue to care for children, run household, resume paid work, resistance of negative thoughts and behaviours",nil,"Daily dose, reviewed quarterly by treating GP, along with numerous grief counselling sessions, support groups, self help (positive thinking etc), regular exercise program."
prozac,8,Moderately Effective,Mild Side Effects,Manageability of depression.,Slight weight gain.,Take one pill daily until no longer needed.
prozac,1,Considerably Effective,Moderate Side Effects,"My depression was significantly alleviated.  I would still feel bad somtimes, but it never again felt like true depresion.  It was like there was some ""padding"" between me and the bad feelings.","There were actually no physical side effects, but I found that I said a lot of things I wouldn't normally say, and which I was embarassed about later.  Prozac made me feel like everything was fine, so I didn't take things seriously enough, and didn't take care of things which really needed to be taken care of.  I feel like I wasn't a good parent during that time, because my attitude was ""eh...who cares?...everything is fine"".  

I also had a very hard time withdrawing from it. I tried several times but fell into severe depression and had to start taking it again.  I thought I'd have to be on it for life.  However, once I managed to make it through a full week without it, I felt fine, and have never had to use it again.","I have a long history of depression but had never taken medication for it.  I asked my doctor to prescribe Prozac.  For the first week I felt the same, but I slept almost 24/7 and barely ate. After that I did get a significant relief from the depression.  Unfortunately, as I noted above, I don't like the way I acted during that time, and still cringe with embarassment and/or regret over things I said and did.  But at the time everything seemed so rosy, that none of my behavior bothered me.  Unfortunately, life is not perfect, and as adults we must take things seriously and deal with them.  Prozac kept me from acknowledging that.  Looking back, if I had faced my depression head on, and let it inspire me to make real changes in my life I would have been a lot better off in the long run."
